Type,Country,IP/Domain,Count
IP,United States,152.199.52.52 (ASN: 15133),1
IP,United States,152.199.52.231 (ASN: 15133),1
IP,United States,152.199.52.45 (ASN: 15133),1
IP,United States,152.199.52.47 (ASN: 15133),1
IP,United States,152.199.52.54 (ASN: 15133),1
IP,United States,152.199.52.89 (ASN: 15133),1
IP,United States,152.199.52.90 (ASN: 15133),2
IP,United States,152.199.52.207 (ASN: 15133),1
IP,United States,152.199.52.216 (ASN: 15133),1
IP,United States,152.199.52.186 (ASN: 15133),1
IP,United States,152.199.52.155 (ASN: 15133),1
IP,United States,152.199.52.184 (ASN: 15133),1
IP,United States,152.199.52.128 (ASN: 15133),1
IP,United States,152.199.52.109 (ASN: 15133),1
IP,United States,152.199.52.211 (ASN: 15133),1
IP,United States,152.199.52.61 (ASN: 15133),1
IP,United States,152.199.52.41 (ASN: 15133),1
IP,United States,152.199.52.237 (ASN: 15133),1
IP,United States,152.199.52.36 (ASN: 15133),1
IP,United States,152.199.52.120 (ASN: 15133),2
IP,United States,152.199.52.172 (ASN: 15133),1
IP,United States,152.199.52.187 (ASN: 15133),1
IP,United States,152.199.52.146 (ASN: 15133),1
IP,United States,152.199.52.79 (ASN: 15133),1
IP,United States,152.199.52.234 (ASN: 15133),1
IP,United States,152.199.52.192 (ASN: 15133),1
IP,United States,152.199.52.145 (ASN: 15133),1
IP,United States,152.199.52.28 (ASN: 15133),1
IP,United States,152.199.52.230 (ASN: 15133),1
IP,United States,152.199.52.17 (ASN: 15133),1
IP,United States,152.199.52.132 (ASN: 15133),1
IP,United States,152.199.52.191 (ASN: 15133),1
IP,United States,152.199.52.185 (ASN: 15133),1
IP,United States,152.199.52.11 (ASN: 15133),1
IP,United States,152.199.52.190 (ASN: 15133),1
IP,United States,152.199.52.139 (ASN: 15133),1
IP,United States,152.199.52.242 (ASN: 15133),2
IP,United States,152.199.52.194 (ASN: 15133),1
IP,United States,152.199.52.229 (ASN: 15133),1
IP,United States,152.199.52.157 (ASN: 15133),1
IP,United States,152.199.52.21 (ASN: 15133),2
IP,United States,152.199.52.112 (ASN: 15133),1
IP,United States,152.199.52.248 (ASN: 15133),1
IP,United States,152.199.52.97 (ASN: 15133),1
IP,United States,152.199.52.80 (ASN: 15133),2
IP,United States,152.199.52.111 (ASN: 15133),1
IP,United States,152.199.52.236 (ASN: 15133),1
IP,Chile,190.96.53.177 (ASN: 14259),1
IP,Chile,201.220.109.208 (ASN: 14117),1
