Type,Country,IP/Domain,Count
IP,Brazil,181.232.229.156 (ASN: 271577),1
IP,Brazil,187.87.186.186 (ASN: 52984),1
IP,Brazil,177.86.95.236 (ASN: 262773),1
IP,Brazil,138.204.222.130 (ASN: 53153),1
IP,Brazil,177.200.155.66 (ASN: 52793),1
IP,Brazil,138.204.222.41 (ASN: 53153),1
IP,Brazil,187.109.5.74 (ASN: 28198),1
IP,Brazil,179.124.239.25 (ASN: 28360),1
IP,Brazil,45.228.110.222 (ASN: 267059),1
IP,Brazil,177.124.154.210 (ASN: 270541),1
IP,Brazil,186.235.253.203 (ASN: 263285),1
IP,Brazil,177.10.177.170 (ASN: 271012),1
IP,Brazil,168.181.183.77 (ASN: 262604),1
IP,Brazil,187.120.212.181 (ASN: 270623),1
IP,Brazil,138.121.219.38 (ASN: 263424),1
IP,Brazil,131.100.135.172 (ASN: 61637),1
IP,Brazil,187.16.149.165 (ASN: 28255),1
IP,Brazil,189.126.76.246 (ASN: 28225),1
IP,Brazil,168.181.183.81 (ASN: 262604),1
IP,Brazil,138.118.232.194 (ASN: 263880),1
IP,Brazil,168.195.35.222 (ASN: 28128),1
IP,Brazil,138.204.145.253 (ASN: 263896),1
IP,Brazil,201.131.46.0 (ASN: 271458),1
IP,Brazil,191.37.39.180 (ASN: 263347),1
IP,Brazil,131.161.131.50 (ASN: 264378),1
IP,Brazil,200.26.230.142 (ASN: 269706),1
IP,Brazil,45.228.110.205 (ASN: 267059),1
IP,Brazil,168.228.214.139 (ASN: 264930),1
IP,Brazil,189.51.109.22 (ASN: 263349),1
IP,Brazil,45.71.251.105 (ASN: 267640),1
IP,Brazil,177.47.157.13 (ASN: 262281),1
IP,Brazil,179.191.43.199 (ASN: 270657),1
IP,Brazil,138.0.210.98 (ASN: 264553),1
IP,Brazil,189.126.0.45 (ASN: 270315),2
IP,Brazil,179.191.43.111 (ASN: 270657),2
IP,Brazil,177.53.119.248 (ASN: 52804),1
IP,Brazil,187.87.35.12 (ASN: 53073),1
IP,Brazil,177.104.245.199 (ASN: 52657),1
IP,Brazil,177.23.135.133 (ASN: 270612),1
IP,Brazil,143.0.126.71 (ASN: 264000),3
IP,Brazil,187.94.107.90 (ASN: 28343),1
IP,Brazil,170.231.132.107 (ASN: 28182),1
IP,Brazil,190.109.98.86 (ASN: 271222),1
IP,Brazil,164.163.159.13 (ASN: 265957),1
IP,Brazil,170.247.233.242 (ASN: 52858),1
IP,Brazil,45.174.5.146 (ASN: 268914),1
IP,Brazil,45.167.181.86 (ASN: 268042),1
IP,Brazil,177.125.59.122 (ASN: 52607),1
IP,Brazil,177.84.125.169 (ASN: 52718),1
IP,Brazil,168.197.74.155 (ASN: 262773),1
IP,Brazil,181.191.229.25 (ASN: 267449),1
IP,Brazil,179.124.181.221 (ASN: 61914),1
IP,Brazil,45.226.46.206 (ASN: 266958),1
IP,Brazil,187.87.189.111 (ASN: 52984),1
IP,Brazil,200.14.58.195 (ASN: 270441),1
IP,Brazil,201.182.152.4 (ASN: 267519),1
IP,Brazil,45.181.222.69 (ASN: 269252),2
IP,Brazil,181.233.81.57 (ASN: 267059),1
IP,Brazil,45.165.33.240 (ASN: 268656),1
IP,Brazil,187.87.189.47 (ASN: 52984),3
IP,Brazil,143.255.111.144 (ASN: 265144),1
IP,Brazil,181.191.229.132 (ASN: 267449),1
